Events,Location ,Date,Time,Type,Prices,image,url
ARTIST LECTURE: DELITA MARTIN,"National Museum of Women in the Arts 
1250 New York Ave. NW,
Washington, DC 20005 ",March 20,5:30-7:30pm,Art,$12-$15,https://lh3.googleusercontent.com/proxy/lv0PDTAewPdBsIIBHlSjd-M7JbPatSECUenk2F4l99Mg_ijW24Ip5dq-NlYHPCp6OTevoR3CvtnFYtMnM6C4ZRHmfkfkpXszXLDzD9a5JeQVxAC2LS2IuGm1whEr6Djm4K1X,https://nmwa.org/events/artist-lecture-delita-martin?utm_source=washingtonorg&utm_medium=referral&utm_campaign=artist-lecture-delita-martin
SCREEN PRINTING & INK DEMO WITH MATT LONG,"Smithsonian American Art Museum 
8th and F Streets, NW,
Washington, DC, DC 20004 ",March 22,1-3pm,Art,$15,https://s3.amazonaws.com/assets.saam.media/files/styles/max_1300x1300/s3/files/images/events/141654197/DgDhnRIEFFoqX0aDgVBafnLa.jpg?itok=aFFboJ2x,https://americanart.si.edu/events/beyond-studio-workshop-screen-printing-ink-demo-matt-long-march-22-2020?utm_source=washingtonorg&utm_medium=referral&utm_campaign=screen-printing-ink-demo-matt-long
MANON MATHEWS,"Bier Baron Tavern and Comedy Loft 
1523 22nd St. NW,
Washington, DC 20037 ","February 27, 2020 - February 29, 2020",Time Very,Comedy,$20-$45,https://washington-org.s3.amazonaws.com/s3fs-public/styles/listing-detailbreakpoints_theme_washington_md_1x/public/manon_82cfbd28-9d0a-4068-b31ea291b9bbe253_d5fcfb30-d64f-416d-82ee79a8bed34928.jpg.jpg?itok=fFpmRkoa&timestamp=1580802738,https://www-dccomedyloft-com.seatengine.com/events/34328?utm_source=washingtonorg&utm_medium=referral&utm_campaign=manon-mathews
MORGAN JAY,"DC Improv Comedy Club & Restaurant 
1140 Connecticut Ave. NW,
Washington, DC 20036 "," February 28, 2020 - February 29",Times Vary,Comedy ,$20,https://www.dcimprov.com/images/square/morganjay.jpg,https://www.dcimprov.com/home/morgan-jay.html?utm_source=washingtonorg&utm_medium=referral&utm_campaign=morgan-jay
ILANA GLAZER,"Warner Theatre 
1299 Pennsylvania Ave. NW.\r\n13th St. NW between E & F St.,
Washington, DC 20004 ",March 4,7:30,Comedy,$35,https://washington-org.s3.amazonaws.com/s3fs-public/styles/ambassador_large/public/ilana-glazer-20200_ac82be2c-5056-a348-3a488c44020caad9.jpg.jpg?itok=YMiL15rG,https://www.warnertheatredc.com/EventDetail?tmeventid=1500582E15F77767&offerid=118599&utm_source=washingtonorg&utm_medium=referral&utm_campaign=ilana-glazer
ATLAS PRESENTS: IMAGINATION STAGES MOUSE ON THE MOVE,"Atlas Performing Arts Center 
1333 H St. NE,
Washington, DC 20002 ",March 1,10:00 AM,Children,$15,https://washington-org.s3.amazonaws.com/s3fs-public/styles/listing-detailbreakpoints_theme_washington_md_1x/public/mouse_c5336ac9-f9f7-4fc2-b20d7b85395e3b13_67ce3153-2b68-4f83-bfc6d625330e9341.jpg.jpg?itok=-xlS8jnK&timestamp=1570256232,https://www.atlasarts.org/events/mouse-on-the-move/?utm_source=washingtonorg&utm_medium=referral&utm_campaign=atlas-presents-imagination-stages-mouse-move
ICE SKATING AT WASHINGTON HARBOUR,"Washington Harbour 
3000 & 3050 K Street NW,
Washington, DC 20007 ",Now-March 15,Time Very,Family,Price Very ,https://washington-org.s3.amazonaws.com/s3fs-public/53807464_2266101376767837_9001980439979622400_o0_f08762dd-5056-a348-3a8e13a7dce83b5c.jpg.jpg,https://www.thewashingtonharbour.com/ice-skating?utm_source=washingtonorg&utm_medium=referral&utm_campaign=ice-skating-washington-harbour
Glenstone Museum," 12100 Glen Road Potomac, Maryland 20854",Year Round,TIme Very,Museum,Free,https://www.glenstone.org/wp-content/uploads/prod/2018/06/Glenstone-Water-Court-2171.jpg,https://www.glenstone.org
INTERNATIONAL SPY MUSEUM,"700 L'Enfant Plaza SW
Washington, DC 20024","Monday-Friday,", 10am-6pm,Museum,Price Very ,https://washington-org.s3.amazonaws.com/s3fs-public/styles/listing_gallery_medium_landscape/public/image-Events3-8083.jpg?itok=0qpLGnjN,https://www.spymuseum.org/?utm_source=washingtonorg&utm_medium=referral&utm_campaign=international-spy-museum
NATIONAL MUSEUM OF AFRICAN AMERICAN HISTORY AND CULTURE,"1400 Constitution Ave. NW
Washington, DC 20001",Year Round,10 a.m. - 5:30 p.m,Museum,Free,https://dcist.com/wp-content/uploads/sites/3/2019/12/Credit-AlanKarchmer_222-1500x1125.jpg,https://nmaahc.si.edu/?utm_source=washingtonorg&utm_medium=referral&utm_campaign=national-museum-african-american-history-and-culture
National Air and Space Museum,"655 JEFFERSON DRIVE, SW
WASHINGTON, DC 20560",Year Round,10:00 am - 5:30 pm,Museum,Free,https://airandspace.si.edu/sites/default/files/images/WEB10078-2004_640.jpg,https://airandspace.si.edu
Washington Monument," 2 15th St NW, Washington, DC 20024",Year Round,9-10pm,Monument,Free,"https://res.cloudinary.com/dk-find-out/image/upload/q_80,w_1920,f_auto/MA_00494238_savygb.jpg",https://www.nps.gov/wamo/index.htm
Lincoln Memorial," 2 Lincoln Memorial Cir NW, Washington, DC 20037",Year Round,24 hours,Monument,Free,https://si.wsj.net/public/resources/images/RV-AZ901_MPFren_GR_20190215145235.jpg,https://www.nps.gov/linc/index.htm
Thomas Jefferson Memorial,"16 E Basin Dr SW, Washington, DC 20242",Year Round,24 hours,Monument,Free ,https://www.wheretraveler.com/sites/default/files/images/jefferson%20memorial%20ehpien%20flickr.jpg,https://www.nps.gov/thje/index.htm
Vietnam Women's Memorial,"5 Henry Bacon Dr SW, Washington, DC 20007",Year Round,24 hours,Monument,Free ,https://pbs.twimg.com/media/D2RUk9oWoAIbVma.jpg,https://www.nps.gov/thingstodo/vietnam-womens-memorial.htm
"Martin Luther King, Jr. Memorial
","1964 Independence Ave SW, Washington, DC 20003",,24 hours,Monument,Free ,https://www.charlestonchronicle.net/wp-content/uploads/2018/01/MLK-Monument_4-columns.jpg,https://www.nps.gov/mlkm/index.htm
